freq,name,osmid,lat,lng,score,OSM Name,Wiki
1,Centre Island Park,2447291688,43.6152238,-79.3772787,30,Centre Island Park,
30,Cherry Beach,1000000232951663,43.6405436,-79.3382656,30,Cherry Beach,
32,Chorley Park,1000000026951750,43.6862317,-79.3701684,30,Chorley Park,
55,Christ Church,1373368729,43.967283,-79.2534647,60,Christ Church,
9,Christie Gardens,1000000035040144,43.6739606,-79.4230003,5,Christie Gardens,
626,City Hall,1000000198500761,43.6535702,-79.3839426,61,Toronto City Hall,en:Toronto City Hall
1,Claireville Conservation Area,1000000266605849,43.7434564,-79.639752,3,Claireville Conservation Area,
29,Clarence Square,1000000007969155,43.6441235,-79.3936867,31,Clarence Square,en:Clarence Square
5,Claridge Apartments,1000000106104323,43.6830556,-79.4003611,5,Claridge Apartments,
4,Cloud Gardens,1000000025822841,43.6511713,-79.3797654,30,Cloud Gardens,
8,Cloverdale Mall,1000000031963720,43.6316711,-79.5551105,6,Cloverdale Mall,en:Cloverdale Mall
3,Club Zanzibar,247703252,43.6580739,-79.3814822,7,Club Zanzibar,en:Zanzibar Tavern
15,Colborne Lodge,256351459,43.6403622,-79.459996,40,Colborne Lodge,
89,College Park,1000000022913944,43.6596396,-79.3838648,30,College Park,
37,Commerce Court,3561927408,43.6477053,-79.3783001,0,Commerce Court,
1,Commerce Court North,1000000043417400,43.6485895,-79.3790267,5,Commerce Court North,
149,Confederation Life Building,1000000178090074,43.6520357,-79.3784349,5,Confederation Life Building,
1,Consilium Place,1000000031616714,43.7779289,-79.2526046,6,Consilium Place,en:Consilium Place
19,Convention Centre,2346826124,43.8458091,-79.3800937,6,Convention Centre,
16,Convocation Hall,1000000330718925,43.6607762,-79.3954452,6,Convocation Hall,en:Convocation Hall (University of Toronto)
21,Coronation Park,1000000185914131,43.6342499,-79.405651,31,Coronation Park,en:Coronation Park
8,Council Chambers,1000000027767545,43.6534921,-79.3839616,0,Council Chambers,
21,Courthouse Square,1000000025823287,43.6504693,-79.3754587,30,Courthouse Square,
5,Credit River,2000000006889825,43.5503856,-79.6384816,1,Credit River,en:Credit River
2,Crescent School,1000000043812218,43.7328646,-79.3789248,60,Crescent School,
3,Czechoslovak Baptist Church,1000000296213732,43.6631866,-79.4688456,5,Czechoslovak Baptist Church,
2,Daisy Mart,1000000116569733,43.5542648,-79.5842489,5,Daisy Mart,
1,Danforth Baptist Church,1000000043805648,43.6768226,-79.3541538,60,Danforth Baptist Church,
1,David A. Balfour Park,1000000013812833,43.6865402,-79.3872971,30,David A. Balfour Park,
60,David Crombie Park,1000000206939076,43.6485796,-79.3677391,30,David Crombie Park,
2,David Pecaut Square,1000000366014838,43.6464367,-79.3874869,0,David Pecaut Square,
1,Davisville Village,555446824,43.7043123,-79.3885169,2,Davisville,en:Davisville Village
3,De La Salle Institute,1000000219170378,43.6519074,-79.3706199,5,De La Salle Institute,
3,Deer Park United Church,1000000043810929,43.6864456,-79.4001507,6,Deer Park United Church (closed),en:Deer Park United Church
1,Delisle Court,1000000061011728,43.6895513,-79.3950351,5,Delisle Court,
2,Dental Clinic,769480500,43.6593136,-79.3854634,6,Dental Clinic,
6,Dentonia Park,1000000024787909,43.6936161,-79.2932731,30,Dentonia Park,
48,Devonian Pond,1000000398994087,43.657527,-79.3797296,0,Devonian Pond,
5,Devonian Square,4316541685,43.6576879,-79.379844,4,Devonian Square,
9,Dineen Building,1000000217672218,43.6511056,-79.3791483,5,Dineen Building,
1,Dixie Presbyterian Church,1000000071219184,43.5962853,-79.6014747,60,Dixie Presbyterian Church,
